fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
ebe122e962d26fa4,Rodrigo Nascimento,d31a5546c0e9b213,Don'Tale Mayes,1a9480fc288e55d7,Rodrigo Nascimento,Submission,2,2:05,3 Rnd (5-5-5),Heavyweight Bout,"May 16, 2020","Jacksonville, Florida, USA"
2300ad7f87080ad7,Chris Gutierrez,45f0cc9d18f35137,Vince Morales,37098a6e6c27fb66,Chris Gutierrez,KO/TKO,2,4:27,3 Rnd (5-5-5),Featherweight Bout,"May 30, 2020","Las Vegas, Nevada, USA"
20ba608a6e717f05,Evan Dunham,e5c9de15bb58b1c6,Herbert Burns,4f140403000158b5,Herbert Burns,Submission,1,1:20,3 Rnd (5-5-5),Catch Weight Bout,"June 06, 2020","Las Vegas, Nevada, USA"
58e72b1a38880ba9,Anthony Ivy,3c5005b66696d790,Christian Aguilera,ae071698e1a3ccd4,Christian Aguilera,KO/TKO,1,0:59,3 Rnd (5-5-5),Welterweight Bout,"June 13, 2020","Las Vegas, Nevada, USA"
d333a6c34ff16397,Austin Hubbard,d2cd7a69cc55e7ed,Max Rohskopf,59a27d2e6d0802ac,Austin Hubbard,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Lightweight Bout,"June 20, 2020","Las Vegas, Nevada, USA"
0f369d09416b9e34,Jordan Griffin,ebef46976554f975,Youssef Zalal,52c2ae6d2f2d2613,Youssef Zalal,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"June 27, 2020","Las Vegas, Nevada, USA"
5d6fb4acfe5cc8a1,Martin Day,ea3dcc417c322064,Davey Grant,113df4fde64735c6,Davey Grant,KO/TKO,3,2:38,3 Rnd (5-5-5),Bantamweight Bout,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
f3c42ce9fad55eb7,Jack Shore,b8a85389d115e35a,Aaron Phillips,34c2b3656f88f7ef,Jack Shore,Submission,2,2:29,3 Rnd (5-5-5),Bantamweight Bout,"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
147e31abbe3927d0,Carlos Felipe,a2ea77e974c5889f,Serghei Spivac,e2f6b2769aaedd6c,Serghei Spivac,Decision - Majority,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
67db05bac9165722,Nathaniel Wood,329e403448756217,John Castaneda,5fa2974cbd18e05c,Nathaniel Wood,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
dcf161082c849205,Chris Gutierrez,45f0cc9d18f35137,Cody Durden,7f6ed67d3ed3c036,Draw,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
96fe84d051847591,Sabina Mazo,70d2329a92864fdb,JJ Aldrich,6fd953151d981979,Sabina Mazo,Decision - Split,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
901dbd1e6463c4ba,Herbert Burns,4f140403000158b5,Nate Landwehr,583ee11abddfc581,Herbert Burns,KO/TKO,1,2:43,3 Rnd (5-5-5),Featherweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
a6441acec6718f03,Austin Lingo,305d73ede05e31ad,Youssef Zalal,52c2ae6d2f2d2613,Youssef Zalal,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"February 08, 2020","Houston, Texas, USA"
8725dc88f2e0a6f3,Mark De La Rosa,f57dd0bfa8c17813,Raulian Paiva,82b4e942781b1046,Raulian Paiva,KO/TKO,2,4:42,3 Rnd (5-5-5),Flyweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
3db15d45e8490c22,Alex Perez,ab2b4ff41d6ebe0f,Mark De La Rosa,f57dd0bfa8c17813,Alex Perez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
567a09fd200cfa05,Gerard Gordeau,279093302a6f44b3,Teila Tuli,96eff1a628adcc7f,Gerard Gordeau,KO/TKO,1,0:26,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
2d2bbc86e941e05c,Kevin Rosier,598a58db87b890ee,Zane Frazier,d3711d3784b76255,Kevin Rosier,KO/TKO,1,4:20,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
cecdc0da584274b9,Royce Gracie,429e7d3725852ce9,Art Jimmerson,a5c53b3ddb31cc7d,Royce Gracie,Submission,1,2:18,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
46acd54cc0c905fb,Ken Shamrock,63b65af1c5cb02cb,Patrick Smith,46c8ec317aff28ac,Ken Shamrock,Submission,1,1:49,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ac7ca2ec38b96c1a,Gerard Gordeau,279093302a6f44b3,Kevin Rosier,598a58db87b890ee,Gerard Gordeau,KO/TKO,1,0:59,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ffd16691c4c4aafc,Royce Gracie,429e7d3725852ce9,Ken Shamrock,63b65af1c5cb02cb,Royce Gracie,Submission,1,0:57,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
00b0796724ec1c09,Jason DeLucia,6ceff86fae4f6b3b,Trent Jenkins,02fc8f50f56eb307,Jason DeLucia,Submission,1,0:52,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
64139d1d505e46c5,Royce Gracie,429e7d3725852ce9,Gerard Gordeau,279093302a6f44b3,Royce Gracie,Submission,1,1:44,No Time Limit,UFC 1 Tournament Title Bout,"November 12, 1993","Denver, Colorado, USA"
b695fc80bd538172,Sabina Mazo,70d2329a92864fdb,Maryna Moroz,b4192a975027aab6,Maryna Moroz,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
93a081342561d0c3,Ray Borg,a4de54ea806fb525,Casey Kenney,e7bba7ce4d6c7b07,Casey Kenney,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
7dc3ada8f2135477,Kevin Holland,3a46b268013afede,Gerald Meerschaert,6ac9bc2953c47345,Kevin Holland,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
6173056f0e080ca6,Enrique Barzola,be0b310a12eb80b4,Kevin Aguilar,cf946e03ba2e7666,Kevin Aguilar,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
b7ff74563d034519,Ross Pearson,4f732e58ed907eff,Desmond Green,f046d724d2a84ac5,Desmond Green,KO/TKO,1,2:52,3 Rnd (5-5-5),Lightweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
f5a038c18f7a44fc,Marina Rodriguez,cd2c4d30c6e13b47,Jessica Aguilar,8f382b3baa954d2a,Marina Rodriguez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
818b55b087013e64,Sodiq Yusuff,94426bb170c88115,Sheymon Moraes,0d62719b1dcf7c40,Sodiq Yusuff,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
1d8ee477e682a8fc,Kennedy Nzechukwu,8667caa0451d245b,Paul Craig,eabf206b162b3b83,Paul Craig,Submission,3,4:20,3 Rnd (5-5-5),Light Heavyweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
b70e72f23446520a,Karolina Kowalkiewicz,d7c3816669784109,Michelle Waterson,eb04b9d31e938edb,Michelle Waterson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
5c70b175f08ca141,Josh Emmett,fba03cd6cc28dc41,Michael Johnson,511e82663651438d,Josh Emmett,KO/TKO,3,4:14,3 Rnd (5-5-5),Featherweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
a0163cdde4ec785d,David Branch,d2c55d1d2e67773b,Jack Hermansson,0a1942069c9ad6b6,Jack Hermansson,Submission,1,0:49,3 Rnd (5-5-5),Middleweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
b309cdde35310875,Edson Barboza,64a50dad704d1d49,Justin Gaethje,9e8f6c728eb01124,Justin Gaethje,KO/TKO,1,2:30,5 Rnd (5-5-5-5-5),Lightweight Bout,"March 30, 2019","Philadelphia, Pennsylvania, USA"
d629aa5eb31a1e38,Macy Chiasson,9cdd2da1a9104a0b,Shanna Young,568bbad0eaced57c,Macy Chiasson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
51218519be104794,Casey Kenney,e7bba7ce4d6c7b07,Merab Dvalishvili,c03520b5c88ed6b4,Merab Dvalishvili,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
