dob,fighter_id,height,n_draw,n_loss,n_win,name,reach,sig_str_abs_pM,sig_str_def_pct,sig_str_land_pM,sig_str_land_pct,stance,sub_avg,td_avg,td_def_pct,td_land_pct,weight
"Jun 26, 1982",0c277f3ff66b0208,"6' 2""",1,6,15,Virgil Zwicker,"74""",4.87,0.39,3.34,0.48,,0.0,1.31,0.5,0.3,205 lbs.
"Jun 30, 1976",d29b5c4f22c6357d,"6' 2""",1,16,39,Gilbert Yvel,"77""",1.78,0.5,1.05,0.47,Orthodox,1.0,0.0,0.25,0.0,225 lbs.
--,e6dac752a2418a88,"6' 3""",0,3,5,Rubens Xavier,--,1.82,0.21,0.77,0.42,Orthodox,1.1,2.1,0.25,0.4,220 lbs.
"Apr 18, 1996",fdbefee0827e1567,"5' 8""",0,3,10,Yanan Wu,"66""",4.35,0.52,4.79,0.45,Orthodox,0.4,0.44,0.58,0.14,125 lbs.
"Aug 06, 1973",7929be8290289a47,"5' 8""",0,10,55,Igor Vovchanchyn,--,0.97,0.63,1.59,0.49,Orthodox,0.5,1.19,0.5,0.66,205 lbs.
"Oct 15, 1979",6546af7ab545b90c,"5' 6""",0,6,10,Darren Uyenoyama,"65""",2.21,0.66,1.34,0.39,Orthodox,0.7,1.42,0.35,0.33,125 lbs.
"Nov 09, 1985",c9cf753cfdf77fc2,"6' 3""",0,6,19,Marcin Tybura,"78""",2.83,0.53,3.32,0.5,Orthodox,0.1,1.69,0.82,0.48,249 lbs.
"Mar 05, 1976",2a542ee8a8b83559,"6' 8""",0,10,31,Tim Sylvia,"80""",2.61,0.61,4.23,0.41,Orthodox,0.1,0.11,0.75,1.0,265 lbs.
--,5b1b383265433f51,--,0,3,7,Casey Ryan,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,185 lbs.
"Jul 28, 1990",36549928f90f1d36,"5' 8""",0,4,9,Jose Quinonez,"69""",2.58,0.66,3.41,0.46,Southpaw,0.7,2.58,0.5,0.45,135 lbs.
"Sep 18, 1975",f5990c11974d8e9c,"6' 0""",1,14,27,Mike Pyle,"74""",2.84,0.6,2.74,0.45,Orthodox,1.5,1.8,0.7,0.35,170 lbs.
"Mar 27, 1986",e18a19001a3f7c7d,"5' 5""",0,5,9,Alptekin Ozkilic,"65""",5.72,0.59,3.81,0.32,Orthodox,0.0,4.21,0.75,0.58,125 lbs.
"Jun 13, 1992",8667caa0451d245b,"6' 5""",0,1,7,Kennedy Nzechukwu,"83""",3.69,0.55,4.57,0.39,Southpaw,0.0,0.0,0.78,0.0,205 lbs.
--,2719f300b0439039,"5' 11""",1,5,13,Ho Bae Myeon,--,3.16,0.83,3.16,0.16,Orthodox,0.0,0.0,0.0,0.0,168 lbs.
"Aug 18, 1974",91acd6910b802a9e,"5' 11""",5,18,31,Chris Lytle,"68""",3.03,0.58,3.76,0.45,Orthodox,2.4,0.7,0.55,0.55,170 lbs.
"Mar 31, 1980",56b8b24f65f9f057,"6' 4""",1,14,22,Mike Kyle,"77""",3.35,0.49,3.93,0.51,Orthodox,0.8,1.33,0.5,0.62,205 lbs.
"Jul 09, 1985",634bb0de2eb043b4,"5' 8""",0,2,21,Cristiane Justino,"68""",2.25,0.64,7.28,0.52,Orthodox,0.4,0.66,0.94,0.55,145 lbs.
"Oct 31, 1988",08e908ed6d18d6a0,"5' 10""",0,4,17,Myles Jury,"73""",2.16,0.66,2.94,0.42,Orthodox,0.3,2.16,0.5,0.55,145 lbs.
"Dec 17, 1978",ac70a4f1db1b8c40,"6' 1""",1,3,8,Scott Junk,--,1.81,0.45,5.13,0.6,Orthodox,0.0,0.0,0.0,0.0,265 lbs.
"Dec 07, 1993",74f9448b97bf8bec,"6' 4""",0,2,13,Da-Un Jung,"78""",7.05,0.47,6.59,0.43,Orthodox,1.1,0.0,0.83,0.0,205 lbs.
"Oct 27, 1985",13104eaed3ae96c3,"5' 8""",0,8,4,Young Sam Jung,--,2.79,0.63,0.53,0.09,Orthodox,2.0,0.0,0.0,0.0,139 lbs.
"Mar 17, 1987",c451d67c09c55418,"5' 7""",0,5,16,Chan Sung Jung,"72""",3.73,0.6,4.58,0.41,Orthodox,0.6,0.78,0.77,0.41,145 lbs.
